id,type,registrationTime,releaseTime,local,title,topic,isActive,start,end,phase.id,phase.label,impact.value,expectedDuration.description,expectedDuration.endTime,period,summaryAdditionalTravelTime.minimumDurationInMinutes,summaryAdditionalTravelTime.maximumDurationInMinutes,sectionType,section.direction,consequence.section.direction,consequence.description,consequence.level,uicCode,stationCode,name,countryCode,coordinate.lat,coordinate.lng
7004209,MAINTENANCE,2023-11-23T15:29:53+0100,2023-11-23T15:29:53+0100,False,Amsterdam - Hoofddorp; Hoofddorp - Schiphol - Hilversum.,,False,2023-12-13T01:20:00+0100,2023-12-20T02:00:00+0100,,,2.0,,,Woensdag 13-12-2023 01:20 uur t/m woensdag 20-12-2023 02:00 uur.,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400226,ALMO,Almere Oostvaarders,NL,52.4033317565918,5.30055570602417
7004224,MAINTENANCE,2023-11-19T14:49:53+0100,2023-11-19T14:49:53+0100,False,Den Haag - Rotterdam.,,False,2023-12-16T00:20:00+0100,2023-12-18T05:00:00+0100,,,4.0,,,Zaterdag 16-12-2023 00:20 uur t/m maandag 18-12-2023 05:00 uur.,,60.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400621,UT,Utrecht Centraal,NL,52.0888900756836,5.11027765274048
7004229,MAINTENANCE,2023-11-23T15:42:19+0100,2023-11-23T15:42:19+0100,False,Amsterdam - Almere; Amsterdam - Amersfoort.,,False,2023-12-16T01:50:00+0100,2023-12-18T02:00:00+0100,,,4.0,,,Zaterdag 16-12-2023 01:50 uur t/m maandag 18-12-2023 02:00 uur.,30.0,30.0,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400620,UTO,Utrecht Overvecht,NL,52.1100006103516,5.12472200393677
7004200,MAINTENANCE,2023-11-20T20:31:50+0100,2023-11-20T20:31:50+0100,False,Amsterdam - Hannover - Berlin.,,False,2023-12-16T04:00:00+0100,2023-12-18T02:00:00+0100,,,2.0,,,Zaterdag 16-12-2023 04:00 uur t/m maandag 18-12-2023 02:00 uur.,,,NL,BOTH,ONE_WAY,minder Intercity's,LESS_TRAINS,8400114,BHV,Bilthoven,NL,52.1300010681152,5.20388889312744
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400624,UTM,Utrecht Maliebaan,NL,52.087776184082,5.13138866424561
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400173,DV,Deventer,NL,52.2574996948242,6.16055536270142
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400185,DVC,Deventer Colmschate,NL,52.2502784729004,6.21444463729858
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400328,HON,Holten,NL,52.2838897705078,6.42027759552002
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,vervangend vervoer,LESS_TRAINS,8400538,RSN,Rijssen,NL,52.3122215270996,6.52027797698975
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,vervangend vervoer,LESS_TRAINS,8400691,WDN,Wierden,NL,52.3613891601562,6.59166669845581
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400051,AML,Almelo,NL,52.3580551147461,6.65388870239258
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400526,RSD,Roosendaal,NL,51.5402793884277,4.45833349227905
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400108,BGN,Bergen op Zoom,NL,51.4938888549805,4.29611110687256
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400521,RB,Rilland-Bath,NL,51.422779083252,4.16111087799072
,,,,,,,,,,,,,,,,,,HSL,ONE_WAY,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400367,KBD,Krabbendijke,NL,51.4333343505859,4.11694431304932
,,,,,,,,,,,,,,,,,,HSL,BOTH,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400370,KRG,Kruiningen-Yerseke,NL,51.4650001525879,4.03722238540649
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400354,BZL,Kapelle-Biezelinge,NL,51.4808349609375,3.95611119270325
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400253,GS,Goes,NL,51.4980545043945,3.89055562019348
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400069,ARN,Arnemuiden,NL,51.5016670227051,3.66916656494141
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400436,MDB,Middelburg,NL,51.4947204589844,3.61722230911255
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,dienstregeling aangepast,LESS_TRAINS,8400653,VSS,Vlissingen Souburg,NL,51.4647216796875,3.59527778625488
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,vervangend vervoer,LESS_TRAINS,8400652,VS,Vlissingen,NL,51.4458351135254,3.59527778625488
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400071,AH,Arnhem Centraal,NL,51.9850006103516,5.89916658401489
,,,,,,,,,,,,,,,,,,NL,BOTH,ONE_WAY,rijden bussen,LESS_TRAINS,8400072,AHP,Arnhem Velperpoort,NL,51.985279083252,5.91944456100464
,,,,,,,,,,,,,,,,,,NEIGHBORING_COUNTRY,BOTH,ONE_WAY,aangepaste internationale dienstregeling,LESS_TRAINS,8400688,WTV,Westervoort,NL,51.96286,5.9695
,,,,,,,,,,,,,,,,,,,,,,,8400193,DVN,Duiven,NL,51.9433326721191,6.01472234725952
,,,,,,,,,,,,,,,,,,,,,,,8400735,ZV,Zevenaar,NL,51.9230537414551,6.07194423675537
,,,,,,,,,,,,,,,,,,,,,,,8033415,EL,Emmerich-Elten,D,51.8743,6.15417
,,,,,,,,,,,,,,,,,,,,,,,8010288,EM,Emmerich,D,51.834283,6.255718
